name,spotify_id,genre,spotify_avatar
2 CHainz,,,
20syl,6mA4csYsYvf4Mq02PleZEV,,https://i.scdn.co/image/ab6761610000e5eb8928154b8783203390f4e4c6
21 Savage,,,
50 Cent,,,
50 Cent,,,
A Caus' Des Garçons,44rIoyd04L9FBK4P8zrodX,,https://i.scdn.co/image/ab67616d0000b273348346b3ce49ea9027f6f56c
Ace of Base,5ksRONqssB7BR161NTtJAm,,https://i.scdn.co/image/df9832bacbaeb43077530fa37a8178cea85cb956
Afro B,,,
Agnes Obel,1rKrEdI6GKirxWHxIUPYms,,https://i.scdn.co//image//ab6761610000e5eb312fa20da6b19e20d9b07974
Akon,,,
Al Jarreau,3YR92OLKlvkK5oKNekSqXe,,https://i.scdn.co/image/0328aeaea8dff5a8695fd9f87de3f2dd41b8d4aa
Alanis Morissette,,,
Alexander,0znpFLuaey34oJTE1jHSnT,,https://i.scdn.co/image/ab6761610000e5eb7b8555e7c926b78242c7a52d
Alicia Keys,,,
Alizee,53deL58uye6fCqRK4COtR4,,https://i.scdn.co/image/01319daaa5efa55935e2c84d8070a821f4de1dd2
Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,,https://i.scdn.co/image/ab6761610000e5ebd58b6657f0f41954c0fcee55
Alphaville,0xliTEbFfy5HQHvsTknTkX,,https://i.scdn.co/image/ab6761610000e5eb3f8779bb1c97be855c6b51a8
AlunaGeorge,2VAnyOxzJuSAj7XIuEOT38,,https://i.scdn.co/image/ab6761610000e5eb7261f020417f3931cc3db324
Aly & AJ,,,
America,35U9lQaRWSQISxQAB94Meo,,https://i.scdn.co/image/ab6761610000e5eb1918619d3b26c6cb16084997
Amy Winehouse,,,
Anastacia,2siHvYaxjaW5rKVRiIrMYH,,https://i.scdn.co/image/ab6761610000e5eb1d479612f500e9fb7bbd9abb
Anggun,,,
Angus and Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,,https://i.scdn.co/image/ab6761610000e5eba6bec94f269e61676f2fe977
Angèle,3QVolfxko2UyCOtexhVTli,,https://i.scdn.co//image//ab6761610000e5eb2aefdc0f42eef75a60b341dd
Angèle,3QVolfxko2UyCOtexhVTli,,https://i.scdn.co//image//ab6761610000e5eb2aefdc0f42eef75a60b341dd
Anitta,,,
Anya Marina,3QkzcRNHg1pCeifBUZGmb6,,https://i.scdn.co/image/ab6761610000e5eb00685313e751bd64de3cfdab
Aqua,24wZhe5S2ElzaYdULrJPhV,,https://i.scdn.co/image/ab6761610000e5ebc90d212dc6af4460eff2b42e
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,,https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d
Asake,,,
Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,,https://i.scdn.co/image/ab6761610000e5eb12393f2112b9496d048b6736
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,,https://i.scdn.co/image/ab6761610000e5eb5c3349ddba6b8e064c1bab16
