name,birthname,date_of_birth,founding_year,spotify_id,genre,spotify_avatar,wikipedia_page,is_group
Ace of Base,Ace of Base,,1990,5ksRONqssB7BR161NTtJAm,nan,https://i.scdn.co/image/df9832bacbaeb43077530fa37a8178cea85cb956,https://fr.wikipedia.org/wiki/Ace_of_Base,1
All-4-One,All-4-One,,1990,1B8ySGDAiXTCvnJNH4HSCG,Rhythm and blues,https://i.scdn.co/image/76758f54e0a9ad08225e42c262f80ca1ad4cebcf,https://fr.wikipedia.org/wiki/All-4-One,1
Alphaville,Alphaville,,1982,0xliTEbFfy5HQHvsTknTkX,nan,https://i.scdn.co/image/ab6761610000e5eb3f8779bb1c97be855c6b51a8,https://fr.wikipedia.org/wiki/Alphaville,1
AlunaGeorge,AlunaGeorge,,2009,2VAnyOxzJuSAj7XIuEOT38,nan,https://i.scdn.co/image/ab6761610000e5eb7261f020417f3931cc3db324,https://fr.wikipedia.org/wiki/AlunaGeorge,1
Aly & AJ,Aly & AJ,,2005,5wugb0kaq0J6nyQ5Xgd17i,Pop rock,https://i.scdn.co/image/ab6761610000e5eb941b05d6a8f552e1e61a7a1f,https://fr.wikipedia.org/wiki/Aly_%26_AJ,1
America,America,,1970,35U9lQaRWSQISxQAB94Meo,nan,https://i.scdn.co/image/ab6761610000e5eb1918619d3b26c6cb16084997,https://fr.wikipedia.org/wiki/America_(groupe),1
Angus and Julia Stone,Angus and Julia Stone,,2006,4tvKz56Tr39bkhcQUTO0Xr,Indian pop,https://i.scdn.co/image/ab6761610000e5eba6bec94f269e61676f2fe977,https://fr.wikipedia.org/wiki/Angus_and_Julia_Stone,1
Aqua,Aqua,,1989,24wZhe5S2ElzaYdULrJPhV,nan,https://i.scdn.co/image/ab6761610000e5ebc90d212dc6af4460eff2b42e,https://fr.wikipedia.org/wiki/Aqua_(groupe),1
Arctic Monkeys,Arctic Monkeys,,2002,7Ln80lUS6He07XvHI8qqHH,nan,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,https://fr.wikipedia.org/wiki/Arctic_Monkeys,1
Aventura,Aventura,,,1qto4hHid1P71emI6Fd8xi,Bachata,https://i.scdn.co/image/ab6761610000e5eb4cd0464ef7d8eb8521f72dd8,https://fr.wikipedia.org/wiki/Aventura,1
BB Brunes,BB Brunes,,2005,4tHeypFR25Cnx83nuHhrud,nan,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,https://fr.wikipedia.org/wiki/BB_Brunes,1
BLACKPINK,BLACKPINK,,,41MozSoPIsD1dJM0CLPjZF,K-pop,https://i.scdn.co/image/ab6761610000e5eb9b57f5eccf180a0049be84b3,https://fr.wikipedia.org/wiki/Blackpink,1
Backstreet Boys,Backstreet Boys,,1993,5rSXSAkZ67PYJSvpUpkOr7,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebd792783a725a0ed42866204c,https://fr.wikipedia.org/wiki/Backstreet_Boys,1
Bee Gees,Bee Gees,,1958,1LZEQNv7sE11VDY3SdxQeN,nan,https://i.scdn.co/image/1ea4795e17ffa658d7ad23095d58997a278179a9,https://fr.wikipedia.org/wiki/Bee_Gees,1
Berlin,Berlin,,1978,2aS6jYh7ysTL1ZUsHneNgM,nan,https://i.scdn.co/image/ab6761610000e5ebfba07dbdca45039f9d20e5bb,https://fr.wikipedia.org/wiki/Berlin_(groupe),1
Bloc Party,Bloc Party,,1999,3MM8mtgFzaEJsqbjZBSsHJ,nan,https://i.scdn.co/image/ab6761610000e5eb42712519962b4c8fe48bc4a6,https://fr.wikipedia.org/wiki/Bloc_Party,1
Blondie,Blondie,,,4tpUmLEVLCGFr93o8hFFIB,Blues rock,https://i.scdn.co/image/ab6761610000e5eb67dc4da82c968767d994f3c3,https://en.wikipedia.org/wiki/Blondie_(band),1
