id,name,spotify_id,genre,spotify_avatar
1,2 CHainz,17lzZA2AlOHwCwFALHttmp,,https://i.scdn.co/image/ab6761610000e5ebf556662d187b9191c421be1c
2,20syl,6mA4csYsYvf4Mq02PleZEV,,https://i.scdn.co/image/ab6761610000e5eb8928154b8783203390f4e4c6
3,21 Savage,1URnnhqYAYcrqrcwql10ft,Rap music,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2
4,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Rap music,https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118
5,A Caus' Des Garçons,44rIoyd04L9FBK4P8zrodX,,https://i.scdn.co/image/ab67616d0000b273348346b3ce49ea9027f6f56c
6,Ace of Base,5ksRONqssB7BR161NTtJAm,,https://i.scdn.co/image/df9832bacbaeb43077530fa37a8178cea85cb956
7,Afro B,7oMRcCu0OYSCtCyS3P37iC,,https://i.scdn.co/image/ab6761610000e5eb628c8d57d3561e11d219c2dc
8,Agnes Obel,1rKrEdI6GKirxWHxIUPYms,,https://i.scdn.co//image//ab6761610000e5eb312fa20da6b19e20d9b07974
9,Akon,0z4gvV4rjIZ9wHck67ucSV,,https://i.scdn.co/image/ab6761610000e5eb3b6ab4190c7435238735b59d
10,Al Jarreau,3YR92OLKlvkK5oKNekSqXe,,https://i.scdn.co/image/0328aeaea8dff5a8695fd9f87de3f2dd41b8d4aa
11,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,,https://i.scdn.co/image/ab6761610000e5ebf6a97342ccd47692b7cdf8c0
12,Alexander,0znpFLuaey34oJTE1jHSnT,,https://i.scdn.co/image/ab6761610000e5eb7b8555e7c926b78242c7a52d
13,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebebfd16a3bca87c31c1e20576
14,Alizee,53deL58uye6fCqRK4COtR4,,https://i.scdn.co/image/01319daaa5efa55935e2c84d8070a821f4de1dd2
441,All-4-One,1B8ySGDAiXTCvnJNH4HSCG,Rhythm and blues,https://i.scdn.co/image/76758f54e0a9ad08225e42c262f80ca1ad4cebcf
15,Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,,https://i.scdn.co/image/ab6761610000e5ebd58b6657f0f41954c0fcee55
16,Alphaville,0xliTEbFfy5HQHvsTknTkX,,https://i.scdn.co/image/ab6761610000e5eb3f8779bb1c97be855c6b51a8
17,AlunaGeorge,2VAnyOxzJuSAj7XIuEOT38,,https://i.scdn.co/image/ab6761610000e5eb7261f020417f3931cc3db324
18,Aly & AJ,5wugb0kaq0J6nyQ5Xgd17i,,https://i.scdn.co/image/ab6761610000e5eb941b05d6a8f552e1e61a7a1f
19,America,35U9lQaRWSQISxQAB94Meo,,https://i.scdn.co/image/ab6761610000e5eb1918619d3b26c6cb16084997
20,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb2ceb023b10da17590878e88c
21,Anastacia,2siHvYaxjaW5rKVRiIrMYH,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb1d479612f500e9fb7bbd9abb
22,Anggun,3ahVFszO9ucf8JQLCNQeYA,,https://i.scdn.co/image/e7ede14ea2a743fed12c8df24b2cedb0b91117ff
23,Angus and Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,,https://i.scdn.co/image/ab6761610000e5eba6bec94f269e61676f2fe977
24,Angèle,3QVolfxko2UyCOtexhVTli,,https://i.scdn.co//image//ab6761610000e5eb2aefdc0f42eef75a60b341dd
25,Anitta,1Xyo4u8uXC1ZmMpatF05PJ,,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
26,Anya Marina,3QkzcRNHg1pCeifBUZGmb6,,https://i.scdn.co/image/ab6761610000e5eb00685313e751bd64de3cfdab
27,Aqua,24wZhe5S2ElzaYdULrJPhV,,https://i.scdn.co/image/ab6761610000e5ebc90d212dc6af4460eff2b42e
28,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f
29,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,,https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d
30,Asake,3a1tBryiczPAZpgoZN9Rzg,,https://i.scdn.co/image/ab6761610000e5eba3ae97af098bf3aeeb24d338
31,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,,https://i.scdn.co/image/ab6761610000e5eb12393f2112b9496d048b6736
32,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,,https://i.scdn.co/image/ab6761610000e5eb5c3349ddba6b8e064c1bab16
33,Ayo,4kuHnKdDObYPKYPcyJC4f6,,https://i.scdn.co/image/ab6761610000e5eb099f22295927964636fd288e
34,BB Brunes,4tHeypFR25Cnx83nuHhrud,,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f
35,Babes Wodumo,3jfVtv9mWfW0c5b3Fx440e,,https://i.scdn.co/image/ab67616d0000b273799143b30879f7496e63a187
36,Bach,5aIqB5nVVvmFsvSdExz408,,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88
436,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebd792783a725a0ed42866204c
37,Bali Baby,5hPcCMWgf6Qu9vUQVySwcY,Rap music,https://i.scdn.co/image/ab6761610000e5eb0b3a29a471d23e384c3cbf65
38,Barry White,3rfgbfpPSfXY40lzRK7Syt,,https://i.scdn.co/image/d04ae222146d052fbbe9ed2598c1c3319d4e7ebc
39,BazBaz,4ijFABgyX2ULYjcr0tSYZ3,,https://i.scdn.co/image/ab6761610000e5eb8d6d77345f28f2b76552a1cc
40,Beck,3vbKDsSS70ZX9D2OcvbZmS,,https://i.scdn.co/image/ab6761610000e5eb917df61d55ce3ab98d43351a
41,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,,https://i.scdn.co/image/1ea4795e17ffa658d7ad23095d58997a278179a9
42,Berlin,2aS6jYh7ysTL1ZUsHneNgM,,https://i.scdn.co/image/ab6761610000e5ebfba07dbdca45039f9d20e5bb
43,Bertrand Belin,5yFrjxlSd8zPqzCCNrOI5h,,https://i.scdn.co/image/ab6761610000e5eb0e91e83afd3c20626755aef0
44,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785
45,Bhad Bhabie,7DuTB6wdzqFJGFLSH17k8e,Rap music,https://i.scdn.co/image/ab6761610000e5eb32f6eec95752845078cbf24e
46,Big Scarr,579LsvZcRVKtToYjS0tkKz,Rap music,https://i.scdn.co/image/ab6761610000e5eb3cfacf8b70d1dce6ab669fd7
47,Big Sean,0c173mlxpT3dSFRgMO8XPh,Rap music,https://i.scdn.co/image/ab6761610000e5eb3d5b14b45d4c3d10d23b03ff
