name,genre,artist,youtube,year,difficulty
Kodama,Electropop,20syl,https://www.youtube.com/embed/Mqbw7CUVWhM?list=PLtXmrrHfQMI4wBTqATUCJUVUPa2GJGTW1,0,1
Just A Lil Bit,Rap music,50 Cent,https://www.youtube.com/embed/GllEDACUbNo?si=XZgi1muPpAwBbSfc,0,1
Outta Control,Rap music,50 Cent,https://www.youtube.com/embed/Z3Oux1lN__4?si=GqpwtK9_taVEaPbJ,0,1
Ayo Technology,Rap music,50 Cent ft. Justin Timberlake,https://www.youtube.com/embed/0kJ7FYgJ7Mo?si=tnu_DvXU-vD1Csa1,0,1
A Caus' Des Garçons,Pop rock,A Caus' Des Garçons,https://www.youtube.com/embed/LvNkzxQSOno?si=6JGOReD-tV6Zcn8i,0,1
Beautiful Life,Pop rock,Ace of Base,https://www.youtube.com/embed/wh-07BzfgYY?si=ED17MRUO-qiV6AKv,0,1
Drogba,Afrobeat,Afro B,https://www.youtube.com/embed/9YqecbxSr4A?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Riverside,Indie pop,Agnes Obel,https://www.youtube.com/embed/vjncyiuwwXQ?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Ephemera,Indie pop,Air,https://www.youtube.com/embed/YCN3IboMJic?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Your Song,Soul,Al Jarreau,https://www.youtube.com/embed/OH7xg5Eoi2E?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Truth,Indie folk,Alexander,https://www.youtube.com/embed/s9yibUR5KNI?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
I Need A Dollar,Soul,Aloe Blacc,https://www.youtube.com/embed/nFZP8zQ5kzk?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Forever Young,Pop rock,Alphaville,https://www.youtube.com/embed/t1TcDHrkQYg?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Attracting Flies,Britpop,AlunaGeorge,https://www.youtube.com/embed/7d_HD89ZlJE?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
A Horse With No Name,Pop rock,America,https://www.youtube.com/embed/zSAJ0l4OBHM?si=Hkl5GCwLDSTE3JXt,0,1
I'm Outta Love,Rhythm and blues,Anastacia,https://www.youtube.com/embed/TnOy6HEf7HU?si=AF1-TMEKFTIeO2Dv&amp,0,1
Big Jet Plane,Pop rock,Angus and Julia Stone,https://www.youtube.com/embed/yFTvbcNhEgc?si=aBH9FInkPygL-VYB&amp,0,1
Miss Halfway,Indie folk,Anya Marina,https://www.youtube.com/embed/H1MJ4xfz_dM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Whatever You Like,Indie folk,Anya Marina,https://www.youtube.com/embed/_0BPnJUx_Yw?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Barbie Girl,Pop rock,Aqua,https://www.youtube.com/embed/ZyhrYis509A?si=P-7pNM7SBAm8HcPm,0,1
Respect,Soul,Aretha Franklin,https://www.youtube.com/embed/6FOUqQt3Kg0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,1967,1
Girlfriend,Pop rock,Avril Lavigne,https://www.youtube.com/embed/Bg59q4puhmg?si=yZ4K8I0KqtJUW9WT&amp,0,1
Jiva Phez'kombhede,Afrobeat,Babes Wodumo ft. Duma Ntando & Mampintsha,https://www.youtube.com/embed/aRnYn9BhG8M?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Professor Finessor,Rap music,Bali Baby,https://www.youtube.com/embed/OzzYm3HIR6c?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Amber Alert,Rap music,Bali Baby,https://www.youtube.com/embed/1WqTFx3r608?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Can't get enough of your love baby,Soul,Barry White,https://www.youtube.com/embed/ypyiAT1RelU?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Sur le bout de la langue...,French pop,BazBaz,https://www.youtube.com/embed/18eZRHfRoIg?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Take My Breathe Away,Pop rock,Berlin,https://www.youtube.com/embed/fUis9yny_lI?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Un Déluge,French pop,Bertrand Belin,https://www.youtube.com/embed/P0dhz-KTxV4?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Geek'd,Rap music,Bhad Bhabie ft. Lil Baby,https://www.youtube.com/embed/66h5dGoQ1IU?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Gucci Flip Flops,Rap music,Bhad Bhabie ft. Lil Yachty,https://www.youtube.com/embed/tsp7IOr7Q9A?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Make A Play,Rap music,Big Scarr,https://www.youtube.com/embed/rRxqWYW-EZE?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Big Bidness,Rap music,Big Sean & Metro Boomin ft. 2 CHainz,https://www.youtube.com/embed/gE8NLUSmbD8?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Uptown Girl,Pop soul,Billy Joel,https://www.youtube.com/embed/hCuMWrfXG4E?si=KKVcu2NwUtaJ6w9w&amp,0,1
Banquet,Alternative rock,Bloc Party,https://www.youtube.com/embed/vdkmhquF60o?si=k013Y-c4Vj46hm_c&amp;controls=0&amp,0,1
Song 2,Rock and roll,Blur,https://www.youtube.com/embed/SSbBvKaM6sk?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Toxic,Pop rock,Britney Spears,https://www.youtube.com/embed/LOZuxwVk7TU?si=Y-jaxZK8SKLJJiBZ,0,1
Streets of Philadelphia,Alternative rock,Bruce Springsteen,https://www.youtube.com/embed/4z2DtNW79sQ?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Anybody,Afrobeat,Burna Boy,https://www.youtube.com/embed/so4dgTRaWFk?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Gbona,Afrobeat,Burna Boy,https://www.youtube.com/embed/h7WfPHHXCAY?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Ye,Afrobeat,Burna Boy,https://www.youtube.com/embed/lPe09eE6Xio?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Last Last,Afrobeat,Burna Boy,https://www.youtube.com/embed/421w1j87fEM?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
On The Low,Afrobeat,Burna Boy,https://www.youtube.com/embed/Ecl8Aod0Tl0?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Touch It,Rap music,Busta Rhymes,https://www.youtube.com/embed/GDtn_FtU614?si=xLaw5eKJYs5DU6gt&amp,0,1
Emiliana,Afrobeat,CKay,https://www.youtube.com/embed/Ypr5QN7Xn_M?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Allez Allez Allez,Indie pop,Camille,https://www.youtube.com/embed/lVPlG4UDwXM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
We & I,Indian pop,Captain Kid,https://www.youtube.com/embed/LpgO6lhi3pY?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Be Careful,Rap music,Cardi B,https://www.youtube.com/embed/8zSRkr1nQNw?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Bartier Cardi,Rap music,Cardi B ft. 21 Savage,https://www.youtube.com/embed/hXnMSaK6C2w?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Drip,Rap music,Cardi B ft. Migos,https://www.youtube.com/embed/H4Hb6HcCm_E?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Bricks,Rap music,Carnage Ft. Migos,https://www.youtube.com/embed/zYU75-OANxc?si=6r41Rt7eZuuafUZu,0,1
Everytime We Touch,Europop,Cascada,https://www.youtube.com/embed/4G6QDNC4jPs?si=DxHdzVOsvfWs2_zX,0,1
Creepin',Rap music,Chamillionaire,https://www.youtube.com/embed/ibzeCACuBcg?si=E1V1bhfmyUkr4T3U,0,1
Hot Shower,Rap music,Chance the Rapper ft. MadeinTYO & DaBaby,https://www.youtube.com/embed/3qoV_Ee9pOM?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Time of the Assassins,French pop,Charlotte Gainsbourg,https://www.youtube.com/embed/-RSRmQ6WiUU?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Right Thurr,Rap music,Chingy,https://www.youtube.com/embed/iO476kD-k0g?si=xuxD4Jay3-GIv-N3&amp,0,1
Beautiful,Pop rock,Christina Aguilera,https://www.youtube.com/embed/aoYEQgG4-JY?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Hurt,Pop rock,Christina Aguilera,https://www.youtube.com/embed/wwCykGDEp7M?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Ain't No Other Man,Pop rock,Christina Aguilera,https://www.youtube.com/embed/8x7Ta89QLo4?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Dirrty,Pop rock,Christina Aguilera,https://www.youtube.com/embed/4Rg3sAb8Id8?si=29afOVTk4dHtJHsQ&amp,0,1
I'm God R.I.P,Indie pop,"Clams Casino, David Higgs & djkillbill313",https://www.youtube.com/embed/FJJ8hWDXWGs?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Mr. President,Alternative rock,Coco Jambo,https://www.youtube.com/embed/bY-oMCmrvPM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Nightshift,Funk,Commodores,https://www.youtube.com/embed/FrkEDe6Ljqs?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Gangsta's Paradise,Rap music,Coolio,https://www.youtube.com/embed/fPO76Jlnz6c?si=SreqfGW6zKvazcoh,0,1
Karma Chameleon,Country pop,Culture Club,https://www.youtube.com/embed/JmcA9LIIXWw?si=xvWBOVXihkttk0Aq&amp,0,1
Girls Just Want To Have Fun,Pop rock,Cyndi Lauper,https://www.youtube.com/embed/PIb6AZdTr-A?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Time After Time,Pop rock,Cyndi Lauper,https://www.youtube.com/embed/VdQY7BusJNU?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
X Gon' Give It To Ya,Rap music,DMX,https://www.youtube.com/embed/fGx6K90TmCI?si=W8z4gL6xHbq3R9r6,0,1
Baby Day,Rap music,Da Baby ft Lil Baby,https://www.youtube.com/embed/_2P9-ss8AOA?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
BOP on Broadway,Rap music,DaBaby,https://www.youtube.com/embed/28hYUZMufDg?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Suge,Rap music,Dababy,https://www.youtube.com/embed/KvuQNNVrbtM?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
One More Time,Disco,Daft Punk,https://www.youtube.com/embed/FGBhQbmPwH8?si=JsY1fh14yFKvZp7N,0,1
Γ. Mosaïque Solitaire,Rap music,Damso,https://www.youtube.com/embed/q2c7Ie1Sz1Q?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Personal Jesus,Alternative rock,Depeche Mode,https://www.youtube.com/embed/u1xrNaTO1bI?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Tiimmy Turner,Rap music,Desiigner,https://www.youtube.com/embed/ProbPpO_8oo?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Bug-A-Boo,Rhythm and blues,Destiny's Child,https://www.youtube.com/embed/9i-y0G8nNA8?si=yMsw9ydpd0phBXRK&amp,0,1
Inama,Afrobeat,Diamond Platnumz ft. Fally Ipupa,https://www.youtube.com/embed/x96N7f62GE4?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Waah!,Afrobeat,Diamond Platnumz ft. Koffi Olomide,https://www.youtube.com/embed/HCuTwNgY3_M?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
White Flag,Pop rock,Dido,https://www.youtube.com/embed/j-fWDrZSiZs?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Thank You,Pop rock,Dido,https://www.youtube.com/embed/1TO48Cnl66w?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
C'est Beau La Bourgeoisie,Dance-pop,Discobitch,https://www.youtube.com/embed/QKVQ2r-_zQk?si=-w-Dh7a1pldfQQtb&amp,0,1
Pakisha,Afrobeat,Dladla Mshunqisi ft. Distruction Boyz & DJ Tira,https://www.youtube.com/embed/ap2YvNDn6xM?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Que Sera Sera,Indie rock,Doris Day,https://www.youtube.com/embed/0WNHNfBUFB0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Still D.R.E.,Rap music,Dr. Dre,https://www.youtube.com/embed/_CL6n0FJZpk?si=7zFV4HOhJlb8NVTQ,0,1
Yes Indeed,Rap music,Drake & Lil Baby,https://www.youtube.com/embed/AbEHRrq7xwU?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Mercy,Pop soul,Duffy,https://www.youtube.com/embed/eJCrb1oNbH4?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Boogie Wonderland,Funk,"Earth, Wind & Fire",https://www.youtube.com/embed/god7hAPv8f0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Can't Help Falling In Love,Rock and roll,Elvis Presley,https://www.youtube.com/embed/gSOZoaMaOzs?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Désert,French pop,Emilie Simon,https://www.youtube.com/embed/V0nnqvZitM0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Bad Meets Evil - The Reunion,Rap music,Eminem,https://www.youtube.com/embed/jfpIOnJXp6E?si=OPccD2iTzB0APDMn,0,1
Sweet Dreams,Electro house,Eurythmics,https://www.youtube.com/embed/p9j8RGTqju0?list=PLtXmrrHfQMI4wBTqATUCJUVUPa2GJGTW1,0,1
My Immortal,Gothic rock,Evanescence,https://www.youtube.com/embed/5anLPw0Efmo?si=j45HXoX_BsD3sJpR&amp,0,1
Yodelice,Pop rock,Familiar Fire,https://www.youtube.com/embed/ikDeNLDE2-M?si=DvPCarErytQTpOKp&amp,0,1
What's Luv,Rhythm and blues,Fat Joe,https://www.youtube.com/embed/VpvyG2NrS1Y?si=OnxI6smazi3tiyqr&amp,0,1
Big Girls Don't Cry,Pop rock,Fergie,https://www.youtube.com/embed/SvAQAeLa-jY?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Bandana,Afrobeat,"Fireboy DML, Asake",https://www.youtube.com/embed/gCLUIzOsgGg?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Peru,Afrobeat,"Fireboy DML, Ed Sheeran",https://www.youtube.com/embed/pekzpzNCNDQ?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
Time to Party,Afrobeat,Flavour ft. Diamond Platnumz,https://www.youtube.com/embed/BFUxr_dkqxw?list=PLtXmrrHfQMI4dyjqTSufQQSeA8sD5b762,0,1
In The Party,Rap music,Flo Milli,https://www.youtube.com/embed/cqM0PAJaAxA?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Home,Electropop,Foxes,https://www.youtube.com/embed/tQ-pVU6SEkI?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Patek Water,Rap music,Future & Young Thug ft. Offset,https://www.youtube.com/embed/tT5TDmiAY78?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Stanky Legg,Rap music,GS Boyz,https://www.youtube.com/embed/ewufRwrayTI?si=LKiz1SL_peoZ1oQA&amp,0,1
La guerre de 14-18,French pop,Georges Brassens,https://www.youtube.com/embed/l2F5qaHzkj0?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Época,Europop,Gotan Project,https://www.youtube.com/embed/Jc7Lt5FLRiA?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Idk Why,Rap music,Gunna,https://www.youtube.com/embed/nqxXeJen7S4?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Sold Out Dates,Rap music,Gunna ft. Lil Baby,https://www.youtube.com/embed/wp6oQlb--Ks?list=PLtXmrrHfQMI5blDsapyu8cUzFqxAa-vsX,0,1
Ca m'énerve,Techno,Helmut Fritz,https://www.youtube.com/embed/4mNDYWhRSaw?si=wEevrtqYp8EMJh95,0,1
Foreigner,Pop rock,I Want to know what love is,https://www.youtube.com/embed/loWXMtjUZWM?list=PLtXmrrHfQMI6QrvFDg9mefswiltkDxdeJ,0,1
Menak wla meni,Arab pop,Inez,https://www.youtube.com/embed/ofgYA_H1dZU,0,1
