id,artist,name,genre,artist_name,featured_artists,youtube_id,year,difficulty
1,2,Kodama,Electropop,20syl,,Mqbw7CUVWhM,2014,5
4,4,Ayo Technology,Rap music,50 Cent,Justin Timberlake,0kJ7FYgJ7Mo,2007,1
3,4,Outta Control,Rap music,50 Cent,,Z3Oux1lN__4,2005,1
2,4,Just A Lil Bit,Rap music,50 Cent,,GllEDACUbNo,2005,1
5,5,A Caus' Des Garçons,French pop,A Caus' Des Garçons,,LvNkzxQSOno,0,1
7,6,Beautiful Life,Pop rock,Ace of Base,,wh-07BzfgYY,0,1
6,6,All That She Wants,Pop rock,Ace of Base,,d73tiBBzvFM,1992,2
8,7,Drogba,Afrobeat,Afro B,,9YqecbxSr4A,0,2
10,8,Riverside,Indie pop,Agnes Obel,,vjncyiuwwXQ,0,5
9,8,The Curse,French pop,Agnes Obel,,6h9XUYj96ho,0,5
11,10,Your Song,Soul,Al Jarreau,,OH7xg5Eoi2E,0,5
12,11,Ironic,Indie rock,Alanis Morissette,,Jne9t8sHpUc,1995,4
13,12,Truth,Indie folk,Alexander,,s9yibUR5KNI,0,5
14,13,Fallin',Rhythm and blues,Alicia Keys,,Urdlvw0SSEc,2001,1
15,14,Moi Lolita,French pop,Alizee,,AWU8vI96-AI,0,1
523,441,I Swear,Rhythm and blues,,,25rL-ooWICU,1994,1
16,15,I Need A Dollar,Soul,Aloe Blacc,,nFZP8zQ5kzk,0,3
17,16,Forever Young,Pop rock,Alphaville,,t1TcDHrkQYg,0,1
18,17,Attracting Flies,Britpop,AlunaGeorge,,7d_HD89ZlJE,0,2
20,18,Potential Break Up Song,Pop rock,Aly & AJ,,LdJps8LBKLE,2007,4
19,18,Insomniatic,Pop rock,Aly & AJ,,N536lLGdbG4,2007,5
21,19,A Horse With No Name,Folk rock,America,,zSAJ0l4OBHM,1971,3
22,20,Back To Black,British blues,Amy Winehouse,,TJAfLE39ZZ8,2018,1
23,21,I'm Outta Love,Rhythm and blues,Anastacia,,TnOy6HEf7HU,0,1
24,22,La neige au Sahara,French pop,Anggun,,IBLwQF_83r8,0,2
25,23,Big Jet Plane,Pop rock,Angus and Julia Stone,,yFTvbcNhEgc,0,4
30,24,Tout Oublier,French pop,Angèle ft. Roméo Elvis,Roméo Elvis,Fy1xQSiLx8U,0,2
29,24,Balance Ton Quoi,French pop,Angèle,,Hi7Rx3En7-k,0,2
28,24,Ta Reine,French pop,Angèle,,XQKYEs4llzg,0,2
27,24,I Kissed A Girl (Cover),Acousmatic music,Angèle,,m7HAQC-uZOk,0,4
26,24,Perdus,French pop,Angèle,,HgH_LsBHTPw,0,1
31,25,Envolver,Latin pop,Anitta,,hFCjGiawJi4,2022,2
34,26,Vertigo,Indie folk,Anya Marina,,MNHge0UOlVY,2005,5
33,26,Whatever You Like,Indie folk,Anya Marina,,_0BPnJUx_Yw,2017,5
32,26,Miss Halfway,Indie folk,Anya Marina,,H1MJ4xfz_dM,2005,5
35,27,Barbie Girl,Pop rock,Aqua,,ZyhrYis509A,0,1
36,28,Do I Wanna Know?,Rock and roll,Arctic Monkeys,,bpOSxM0rNPM,0,2
37,29,Respect,Soul,Aretha Franklin,,6FOUqQt3Kg0,1967,1
38,31,Halloweenie,Indie pop,Ashnikko,,iqSt1ZS_Znw,0,5
40,32,Girlfriend,Pop rock,Avril Lavigne,,Bg59q4puhmg,2007,1
39,32,Complicated,Pop rock,Avril Lavigne,,5NPBIwQyPWE,2002,1
41,33,Down On My Knees,Ragga,Ayo,,NZOJsIlAgpE,0,4
42,34,Dis-Moi,Rock and roll,BB Brunes,,X3VNRVo7irM,0,1
45,36,Jesus bleibet meine Freude from Cantata BWV 147,Cantata,Bach,,GWtoeYznx8E,0,4
44,36,Cantata Ich steh mit einem Fuss im Grabe BWV 156,Chamber music,Bach,,drFcH_WwK7Y,0,5
514,436,I Want It That Way,Rhythm and blues,,,4fndeDfaWCg,1999,1
47,37,Amber Alert,Rap music,Bali Baby,,1WqTFx3r608,0,2
46,37,Professor Finessor,Rap music,Bali Baby,,OzzYm3HIR6c,0,2
48,38,Can't get enough of your love baby,Soul,Barry White,,ypyiAT1RelU,0,1
49,39,Sur le bout de la langue...,French pop,BazBaz,,18eZRHfRoIg,0,1
50,40,Paper Tiger,Alternative rock,Beck,,EnkaIEfealU,0,5
51,41,Stayin' Alive,Rock and roll,Bee Gees,,fNFzfwLM72c,0,2
52,42,Take My Breathe Away,Pop rock,Berlin,,fUis9yny_lI,0,3
53,43,Un Déluge,French pop,Bertrand Belin,,P0dhz-KTxV4,0,1
56,44,Crazy In Love,Rhythm and blues,Beyoncé,Jay-Z,ViwtNLUqkMY,2003,1
55,44,Check On It,Rhythm and blues,Beyoncé,"Bun B, Slim Thug",Q1dUDzBdnmI,2005,1
54,44,Single Ladies (Put a Ring on It),Rhythm and blues,Beyoncé,,4m1EFMoRFvY,2008,1
58,45,Gucci Flip Flops,Rap music,Bhad Bhabie,Lil Yachty,tsp7IOr7Q9A,0,2
57,45,Geek'd,Rap music,Bhad Bhabie,Lil Baby,66h5dGoQ1IU,0,2
59,46,Make A Play,Rap music,Big Scarr,,rRxqWYW-EZE,0,1
60,47,Big Bidness,Rap music,Big Sean,"Metro Boomin,2 CHainz",gE8NLUSmbD8,0,1
61,48,Uptown Girl,Pop soul,Billy Joel,,hCuMWrfXG4E,0,3
63,49,People Help The People,Europop,Birdy,,OmLNs6zQIHo,0,3
62,49,Skinny Love,Indie pop,Birdy,,lT67liGjZhw,0,3
64,50,Banquet,Alternative rock,Bloc Party,,vdkmhquF60o,0,1
65,51,Hit 'Em Up Style (Oops!),Rhythm and blues,Blu Cantrell,,LMOKlXfXn50,2001,3
66,53,Song 2,Rock and roll,Blur,,SSbBvKaM6sk,0,2
524,442,End Of The Road,Rhythm and blues,,,zDKO6XYXioc,1991,2
67,54,The Boy Is Mine,Rhythm and blues,Brandy & Monica,,qSIOp_K5GMw,1998,2
69,55,Ma Benz,Indie folk,Brigitte,,u4hC6d7AgZQ,0,5
68,55,Allumer Le Feu,French pop,Brigitte,,R8JXSAHGK5M,0,5
74,56,Toxic,Pop rock,Britney Spears,,LOZuxwVk7TU,2003,1
73,56,Oops!... I Did It Again,Pop rock,Britney Spears,,CduA0TULnow,2000,1
72,56,I'm A Slave 4 U,Pop rock,Britney Spears,,Mzybwwf2HoQ,2001,1
71,56,Lucky,Pop rock,Britney Spears,,4vvBAONkYwI,2000,2
70,56,Baby One More Time,Pop rock,Britney Spears,,C-u5WLJ9Yk4,1999,1
75,57,Streets of Philadelphia,Alternative rock,Bruce Springsteen,,4z2DtNW79sQ,0,3
80,59,On The Low,Afrobeat,Burna Boy,,Ecl8Aod0Tl0,2019,1
79,59,Last Last,Afrobeat,Burna Boy,,421w1j87fEM,2022,1
78,59,Ye,Afrobeat,Burna Boy,,lPe09eE6Xio,2018,1
77,59,Gbona,Afrobeat,Burna Boy,,h7WfPHHXCAY,2019,1
76,59,Anybody,Afrobeat,Burna Boy,,so4dgTRaWFk,2019,1
503,60,I Know What You Want,Rhythm and blues,,,WDaNJW_jEBo,2002,1
81,60,Touch It,Rap music,Busta Rhymes,,GDtn_FtU614,0,1
82,61,Emiliana,Afrobeat,CKay,,Ypr5QN7Xn_M,0,1
83,62,Sur Mon Nom,Rap music,Caballero & JeanJass,,w0na7OG-16A,0,2
84,63,Allez Allez Allez,Indie pop,Camille,,lVPlG4UDwXM,0,4
85,64,We & I,Indian pop,Captain Kid,,LpgO6lhi3pY,0,1
88,65,Drip,Rap music,Cardi B,Migos,H4Hb6HcCm_E,0,1
87,65,Bartier Cardi,Rap music,Cardi B,21 Savage,hXnMSaK6C2w,0,1
86,65,Be Careful,Rap music,Cardi B,,8zSRkr1nQNw,0,1
89,66,Quelqu'un m'a dit,French pop,Carla Bruni,,EC7Re8cczj0,2002,2
90,67,Bricks,Rap music,Carnage,Migos,zYU75-OANxc,0,1
91,68,Everytime We Touch,Europop,Cascada,,4G6QDNC4jPs,0,1
113,69,Goodies,Rhythm and blues,Ciara,Petey Pablo,YtC92pzp5vw,2004,1
92,69,Me & You,Rhythm and blues,Cassie,,rrby-9U2TYE,0,1
93,70,I Love U So,Electro music,Cassius,,NazVKnD-_sQ,0,4
94,72,Mama Said,Blues rock,Cat Clyde,,gqXdU1IK2JI,0,5
95,73,Finally,Rhythm and blues,CeCe Peniston,,xk8mm1Qmt-Y,1992,4
96,75,Strange,Jazz blues,Celeste,,7ZbO3pq9qq4,0,5
97,76,"My Heart Will Go On (Love Theme from ""Titanic"")",Film score,Celine Dion,,gfTk-0qSMaY,1997,1
98,77,Creepin',Rap music,Chamillionaire,,ibzeCACuBcg,0,1
