name,birthname,date_of_birth,spotify_id,genre,spotify_avatar,wikipedia_page
2 CHainz,Tauheed Epps,1977-09-12,17lzZA2AlOHwCwFALHttmp,,https://i.scdn.co/image/ab6761610000e5ebf556662d187b9191c421be1c,
20syl,Sylvain Richard,1979-02-17,6mA4csYsYvf4Mq02PleZEV,,https://i.scdn.co/image/ab6761610000e5eb8928154b8783203390f4e4c6,
A Caus' Des Garçons,,,44rIoyd04L9FBK4P8zrodX,,https://i.scdn.co/image/ab67616d0000b273348346b3ce49ea9027f6f56c,
Ace of Base,,,5ksRONqssB7BR161NTtJAm,,https://i.scdn.co/image/df9832bacbaeb43077530fa37a8178cea85cb956,
Afro B,Ross-Emmanuel Bayeto,1993-02-25,7oMRcCu0OYSCtCyS3P37iC,,https://i.scdn.co/image/ab6761610000e5eb628c8d57d3561e11d219c2dc,
Al Jarreau,Alwin Lopez Jarreau,1940-03-12,3YR92OLKlvkK5oKNekSqXe,,https://i.scdn.co/image/0328aeaea8dff5a8695fd9f87de3f2dd41b8d4aa,
Alanis Morissette,,,6ogn9necmbUdCppmNnGOdi,,https://i.scdn.co/image/ab6761610000e5ebf6a97342ccd47692b7cdf8c0,
Alexander,,,0znpFLuaey34oJTE1jHSnT,,https://i.scdn.co/image/ab6761610000e5eb7b8555e7c926b78242c7a52d,
Alizee,Alizée Jacotey,1984-08-21,53deL58uye6fCqRK4COtR4,,https://i.scdn.co/image/01319daaa5efa55935e2c84d8070a821f4de1dd2,
Aloe Blacc,Egbert Nathaniel Dawkins III,1979-01-07,0id62QV2SZZfvBn9xpmuCl,,https://i.scdn.co/image/ab6761610000e5ebd58b6657f0f41954c0fcee55,
Alphaville,,,0xliTEbFfy5HQHvsTknTkX,,https://i.scdn.co/image/ab6761610000e5eb3f8779bb1c97be855c6b51a8,
AlunaGeorge,,,2VAnyOxzJuSAj7XIuEOT38,,https://i.scdn.co/image/ab6761610000e5eb7261f020417f3931cc3db324,
Aly & AJ,,,5wugb0kaq0J6nyQ5Xgd17i,,https://i.scdn.co/image/ab6761610000e5eb941b05d6a8f552e1e61a7a1f,
America,,,35U9lQaRWSQISxQAB94Meo,,https://i.scdn.co/image/ab6761610000e5eb1918619d3b26c6cb16084997,
Anggun,Anggun Cipta Sasmi,1974-04-29,3ahVFszO9ucf8JQLCNQeYA,,https://i.scdn.co/image/e7ede14ea2a743fed12c8df24b2cedb0b91117ff,
Angus and Julia Stone,,,4tvKz56Tr39bkhcQUTO0Xr,,https://i.scdn.co/image/ab6761610000e5eba6bec94f269e61676f2fe977,
Angèle,,,3QVolfxko2UyCOtexhVTli,,https://i.scdn.co//image//ab6761610000e5eb2aefdc0f42eef75a60b341dd,
Anya Marina,,,3QkzcRNHg1pCeifBUZGmb6,,https://i.scdn.co/image/ab6761610000e5eb00685313e751bd64de3cfdab,
Aqua,,,24wZhe5S2ElzaYdULrJPhV,,https://i.scdn.co/image/ab6761610000e5ebc90d212dc6af4460eff2b42e,
Arctic Monkeys,,,7Ln80lUS6He07XvHI8qqHH,,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,
Aretha Franklin,Aretha Louise Franklin,1942-03-25,7nwUJBm0HE4ZxD3f5cy5ok,,https://i.scdn.co/image/ab6761610000e5ebf12270128127ba170f90097d,
Asake,,,3a1tBryiczPAZpgoZN9Rzg,,https://i.scdn.co/image/ab6761610000e5eba3ae97af098bf3aeeb24d338,
Ashnikko,Ashton Nicole Casey,1996-02-19,3PyJHH2wyfQK3WZrk9rpmP,,https://i.scdn.co/image/ab6761610000e5eb12393f2112b9496d048b6736,
Avril Lavigne,Avril Ramona Lavigne,1984-09-27,0p4nmQO2msCgU4IF37Wi3j,,https://i.scdn.co/image/ab6761610000e5eb5c3349ddba6b8e064c1bab16,
Ayo,,,4kuHnKdDObYPKYPcyJC4f6,,https://i.scdn.co/image/ab6761610000e5eb099f22295927964636fd288e,
BB Brunes,,,4tHeypFR25Cnx83nuHhrud,,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,
Bach,,,5aIqB5nVVvmFsvSdExz408,,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88,
Barry White,Barrence Eugene Carter,1944-09-12,3rfgbfpPSfXY40lzRK7Syt,,https://i.scdn.co/image/d04ae222146d052fbbe9ed2598c1c3319d4e7ebc,
BazBaz,,,4ijFABgyX2ULYjcr0tSYZ3,,https://i.scdn.co/image/ab6761610000e5eb8d6d77345f28f2b76552a1cc,
Beck,,,3vbKDsSS70ZX9D2OcvbZmS,,https://i.scdn.co/image/ab6761610000e5eb917df61d55ce3ab98d43351a,
Bee Gees,,,1LZEQNv7sE11VDY3SdxQeN,,https://i.scdn.co/image/1ea4795e17ffa658d7ad23095d58997a278179a9,
Berlin,,,2aS6jYh7ysTL1ZUsHneNgM,,https://i.scdn.co/image/ab6761610000e5ebfba07dbdca45039f9d20e5bb,
Bertrand Belin,,1970-12-07,5yFrjxlSd8zPqzCCNrOI5h,,https://i.scdn.co/image/ab6761610000e5eb0e91e83afd3c20626755aef0,
Billy Joel,William Martin Joel,1949-05-09,6zFYqv1mOsgBRQbae3JJ9e,,https://i.scdn.co/image/ab6761610000e5ebb34057d59275011032ef8bc8,
Birdy,,,2WX2uTcsvV5OnS0inACecP,,https://i.scdn.co/image/ab6761610000e5eb778483686ae247c1906f02fb,
Bloc Party,,,3MM8mtgFzaEJsqbjZBSsHJ,,https://i.scdn.co/image/ab6761610000e5eb42712519962b4c8fe48bc4a6,
Blueface,Johnathan Jamall Porter,1997-01-20,3Fl1V19tmjt57oBdxXKAjJ,,https://i.scdn.co/image/ab6761610000e5eb9ee6c8739ef1f20553231132,
Blur,,,7MhMgCo0Bl0Kukl93PZbYS,,https://i.scdn.co/image/ab6761610000e5eb00620d736644d2359ce99430,
Brigitte,,,3sB1RV3IE5yCyMbl01FzBN,,https://i.scdn.co/image/ab6761610000e5ebb6db9f26998bdda2e7c0ff6e,
Britney Spears,Britney Jean Spears,1981-12-02,26dSoYclwsYLMAKD3tpOr4,,https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90,
Bruce Springsteen,Bruce Frederick Joseph Springsteen,1949-09-23,3eqjTLE0HfPfh78zjh6TqT,,https://i.scdn.co/image/ab6761610000e5eb81df2fa2f937029ec986bbb8,
Bun B,Bernard Freeman,1973-03-19,45a6gCQWq61lIUDmr1tKuO,,https://i.scdn.co/image/3bba8d19446261eb36f6ce214dc472c6669536fa,
Burna Boy,Damini Ebunoluwa Ogulu,1991-07-02,3wcj11K77LjEY1PkEazffa,,https://i.scdn.co/image/ab6761610000e5eb2d405f4858ce3cd52d409c98,
Camille,,,0gOsZcHl7H3ewXVIEnWFZX,,https://i.scdn.co/image/ab6761610000e5eb11f431f95fc3776d22a5ac37,
Captain Kid,,,7BEfMxbaqx6dOpbtlEqScm,,https://i.scdn.co/image/4f2f9946d13c03740d4a033c662bb3995d0c00e1,
Carla Bruni,Carla Gilberta Bruni Tedeschi,1967-12-23,1HVwzNriKEjaeE06okqSpx,,https://i.scdn.co/image/ab6761610000e5eb1d05c17e7271984b1e009d6f,
Cassius,,,4sf3QZW8a3xZ14IGsOAzoy,,https://i.scdn.co/image/ab6761610000e5eb6686276b73ec5c27ae481992,
Castro,,,0LAurKItZ2c5kltNoRMtKq,,https://i.scdn.co/image/ab6761610000e5eb398e7242fda5cccab0b5e6ec,
Ceeza Milli,,,11b21KVATwG7LgLPiD3a1A,,https://i.scdn.co/image/ab6761610000e5eb80df5f836a383ea97dab791d,
Celine Dion,Céline Marie Claudette Dion,1968-03-30,4S9EykWXhStSc15wEx8QFK,,https://i.scdn.co/image/ab6761610000e5ebc3b380448158e7b6e5863cde,
Charlotte Gainsbourg,Charlotte Lucy Ginsburg,1971-07-21,2rBcvLKWCZs9w1qIWv560v,,https://i.scdn.co/image/ab6761610000e5eb5c6941ccec946b6e52c87362,
Chris Lake,,1982-08-08,5Igpc9iLZ3YGtKeYfSrrOE,,https://i.scdn.co/image/ab6761610000e5eb3c4c752f83e79a2f4f84341b,
Chronixx,,,2oZcMYiKpjaA2Et5mU3RPP,,https://i.scdn.co/image/ab6761610000e5ebff811e1e25b9cf99dc4e544f,
Cigarettes After Sex,,,1QAJqy2dA3ihHBFIHRphZj,,https://i.scdn.co/image/ab6761610000e5eb0e871e0389b9722cc12a4118,
Clams Casino,,,5vSQUyT33qxr1xAX2Tkf3A,,https://i.scdn.co/image/ab6761610000e5ebeb01ceedf9eb7f7cf92b634a,
Colbie Caillat,Colbie Marie Caillat,1985-05-28,6aZyMrc4doVtZyKNilOmwu,,https://i.scdn.co/image/ab6761610000e5eb08635ff0ed30023d2ee764a1,
Colby O'Donis,Colby O'Donis Colón,1989-03-14,7fObcBw9VM3x7ntWKCYl0z,,https://i.scdn.co/image/ab6761610000e5eb2c44e078944196a8c1eec256,
Commodores,,,6twIAGnYuIT1pncMAsXnEm,,https://i.scdn.co/image/ab6761610000e5eb21a213a4fe1a6f9b45d3f7f9,
Corinne Bailey Rae,,1979-02-26,5gFZo6Oh5WehnbEj0XtxiF,,https://i.scdn.co/image/ab6761610000e5eb102a1c8e6a4838425728d673,
Culture Club,,,6kz53iCdBSqhQCZ21CoLcc,,https://i.scdn.co/image/ab6761610000e5eb5903965a15551fd12feb8b87,
Cyndi Lauper,Cynthia Ann Stephanie Lauper,1953-06-22,2BTZIqw0ntH9MvilQ3ewNY,,https://i.scdn.co/image/ab6761610000e5eb72f5bad471601240967563d6,
Cœur De Pirate,Béatrice  Mireille Martin,1989-09-22,5j4HeCoUlzhfWtjAfM1acR,,https://i.scdn.co/image/ab6761610000e5ebcc129f1c9b5047760d66aae2,
DARKSIDE,,,2933wDUojoQmvqSdTAE5NB,,https://i.scdn.co/image/ab6761610000e5ebedbd92a9fcc728efed3e89b8,
DJ Tira,,,4FC2wXrDWr5lLCZeAUgfVn,,https://i.scdn.co/image/ab6761610000e5eb91b0f2590693ad44d3377c1e,
Daft Punk,,,4tZwfgrHOc3mvqYlEYSvVi,,https://i.scdn.co/image/ab6761610000e5eba7bfd7835b5c1eee0c95fa6e,
Danger,,,5jco0Od4vChi5xTq1EZDRn,,https://i.scdn.co/image/ab67616d0000b2734f6a47e662f88252a96365ca,
Depeche Mode,,,762310PdDnwsDxAQxzQkfX,,https://i.scdn.co/image/ab6761610000e5ebaff13c9484fdad590ccfb73c,
Devonte,,,0M1ImWN3uInxUCZVIE9uxa,,https://i.scdn.co/image/ab6761610000e5eb409b7842b75d071739f2eaa8,
Diamond Platnumz,Naseeb Abdul Juma,1989-10-02,3cAisWS37sGCCtRgWfvrod,,https://i.scdn.co/image/ab6761610000e5ebdd3584a621a443882fbdfc7d,
Dido,Dido Florian Cloud de Bounevialle O'Malley Armstrong,1971-12-25,2mpeljBig2IXLXRAFO9AAs,,https://i.scdn.co/image/ab6761610000e5ebf36e7b59cdaa0df8bee8e63f,
Disclosure,,,6nS5roXSAGhTGr34W6n7Et,,https://i.scdn.co/image/ab6761610000e5eb3faf416d3be99d63fec18baa,
Distruction Boyz,,,44MG6uiTa2VeYlcy6VKDXe,,https://i.scdn.co/image/ab6761610000e5eb35d00cd4724f50c8142ea630,
Dladla Mshunqisi,,,5M9mFjVaPT2T1HFYFFSoCt,,https://i.scdn.co/image/ab6761610000e5eb37606bb1b959a7bd8bef63a5,
Doris Day,Doris Mary Kappelhoff[1],1922-04-03,3ESG6pj6a0LvUKklENalT6,,https://i.scdn.co/image/c11bb32e6a96a88cffce8f459ca93ef0bbc12ec6,
Dru Hill,,,1255GTUKNCLCTvH9ctD4cT,,https://i.scdn.co/image/486972d0215af437990698714e81ffdc177ee82f,https://fr.wikipedia.org/wiki/Dru_Hill
Duffy,,1984-01-23,37NqXwtb6nIEqRt4EJSoIO,,https://i.scdn.co/image/ab6772690000dd2250e750d1aed632c37a450ffb,https://fr.wikipedia.org/wiki/Duffy_(chanteuse)
Duma Ntando,,,3Capes475wUe21Gzvk5gvA,,,
"Earth, Wind & Fire",,,4QQgXkCYTt3BlENzhyNETg,,https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92,
Ed Sheeran,Edward Christopher Sheeran,1991-02-17,6eUKZXaKkcviH0Ku9w2n3V,,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9,
Edward Maya,Eduard Marian Ilie,1986-06-29,6XwwFnewNgWp81MYMK8zLq,,https://i.scdn.co/image/ab6761610000e5eb877f1dbdef641d7e31c90d4c,
Elephant Man,,,6NOvBZrkd83MSD51xkq4on,,https://i.scdn.co/image/11b5d170e9899db7033a38fcacfcf3a746d06d76,
Ellie Goulding,Elena Jane Goulding,1986-12-30,0X2BH1fck6amBIoJhDVmmJ,,https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a,
Elvis Presley,Elvis Aaron Presley,1935-01-08,43ZHCT0cAZBISjO8DG9PnE,,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c,
Emilie Simon,Émilie Marie Simon,1978-07-17,6kLw7VpGwN4N0sBdmKhhfd,,https://i.scdn.co/image/ab6761610000e5eb2940ee9508c7ae72b8dd873b,
Ephemera,,,64xAHfAOo1FcDxFDrnBgmr,,https://i.scdn.co/image/ab6761610000e5ebcade8fbbec364a37e1a4998e,
Evanescence,,,5nGIFgo0shDenQYSE0Sn7c,,https://i.scdn.co/image/ab6761610000e5eb7ecf213c7dd78e0049379c5b,
Fally Ipupa,Fally Ipupa Nsimba[1],1977-12-14,6IflU2YrY5Cyw7YoBICosV,,https://i.scdn.co/image/ab6761610000e5ebaef56a6cfdcc53e6e8865579,
Fat Man Scoop,,,15GGbJKqC6w0VYyAJtjej6,,https://i.scdn.co/image/ab6761610000e5eb0a79b0e631f15a9ad1a1e779,
Fatal Bazooka,,,68DWke2VjdDmA75aJX5C57,,https://i.scdn.co/image/ab6761610000e5eb009e7843e0c929a1f2c34c27,
