title,title_fr
24,24 heure Chrono
70s show,
7th Heaven,
Airworlf,Supercopter
American Horror Story,
American Idol,Nouvelle Star
Angel,Angel
Arrow,
Battlestar Galactica,
Baywatch,Alerte à Malibu
Better Call Saul,
Bones,
Breaking Bad,
Buffy,
CSI Las Vegas,
Californication,
Charmed,
Coeur Caraïbes,Coeur Caraïbes
Criminial Minds,Esprits Criminels
Dallas,
Dawson's Creek,
Desperate Housewives,
Dexter,
Diff'rent Strokes,
Dr. House,
ER,Urgences
Emily In Paris,
Euphoria,
Flipper,Flipper
Friends,
GTA San Andreas,
Ghost Whisperer,
Girlfriends,
Gossip Girl,
Gotham,
Grey's Anatomy,
Hannah Montana,Hannah Montana
Hawaii Five 0,
Hercules: The Legendary Journeys theme,
Heroes,
House of Cards,
How I Met Your Mother,
Jessica Jones,
Kim Possible,Kim Possible
La Casa del Papel,
La Quatrième Dimension,
Law & Order,New York Unité Spéciale
Lost,
MacGyver,
Magnum,
Malcolm,
Marimar,Marimar
Mr Bean,
My Wife And Kids,Ma Famille D'abord
NCIS,
Narcos,
Newport Beach,
One Tree Hill,Les Frères Scott
Pacific Blue,Pacific Blue
Peaky Blinders,
Pretty Little Liars,
Prison Break,Prison Break
Santa Barbara,Santa Banbara
Scrubs,
Seinfield,
Sex And The City,
Sex Education,
Six Feet Under,
Skins,
Smallville,Smallville
Sonny,Sonny
Sons of Anarchy,
Spartacus,
Starsky and Hutch,Starsky et Hutch
Supernatural,
That's So Raven,Phénomène Raven
The 100,
The A-Team,
The Big Bang Theory,
The Crow: Stairway To Heaven,The Crow
The Highlander,The Highlander
The Mentalist,Le Mentaliste
The Office,
The Shield,The Shield
The Six Million Dollar Man,L'homme qui valait trois milliard
The Suite Life of Zack & Cody,La Vie de palace de Zack et Cody
The Walking Dead,
The Wayan Bros,
The Witcher,
Two And A Half Men,Mon Oncle Charlie
Ugly Betty,Ugly Betty
Vampire Diaries,
Veronica Mars,Veronica Mars
Vikings,
"Walker, Texas Ranger","Walker, Texas Ranger"
Weeds,
Wizards Of Waverly Place,Les Sorciers de Waverly Place
Wizards of Waverly Place,Les Sorciers de Waverly Place
X Files,
Xena Warrior Princess,Xena La Princesse Guerrière
You,
